body_part,equipment,name,target,secondary_muscles_full,difficulty,sets,reps
lower body,kettlebell,single arm kettlebell bottoms up overhead ipsilateral pistol squat,quadriceps,"quadriceps femoris, gluteus maximus",advanced,5,10-12
core,kettlebell,double kettlebell l sit,abdominals,rectus abdominis,advanced,5,10-12
core,kettlebell,double kettlebell l sit lift over,abdominals,rectus abdominis,advanced,5,8-10
core,kettlebell,single arm kettlebell bottoms up windmill,abdominals,"obliques, rectus abdominis, anterior deltoids",advanced,4,8-10
full body,kettlebell,single arm kettlebell bottoms up bent press,shoulders,"anterior deltoids, triceps brachii",advanced,5,10-12
full body,kettlebell,single arm kettlebell bottoms up half kneeling bent press,shoulders,"anterior deltoids, triceps brachii",advanced,4,8-10
upper body,gymnastic rings,ring l sit archer pull up,back,"latissimus dorsi, biceps brachii",advanced,5,8-10
core,kettlebell,double kettlebell overhead march,hip flexors,"iliopsoas, rectus abdominis, gluteus medius",intermediate,4,12-15
core,kettlebell,single arm kettlebell overhead march,hip flexors,"iliopsoas, rectus abdominis, gluteus medius",intermediate,4,15-18
lower body,kettlebell,double kettlebell suitcase alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,kettlebell,double kettlebell suitcase alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,kettlebell,double kettlebell front rack alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,kettlebell,double kettlebell front rack alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,kettlebell,double kettlebell front rack alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,kettlebell,double kettlebell bottoms up front rack alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,15-18
lower body,kettlebell,double kettlebell bottoms up front rack alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,kettlebell,double kettlebell bottoms up front rack alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
lower body,dumbbell,double dumbbell suitcase alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,dumbbell,double dumbbell front rack alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,dumbbell,double dumbbell front rack alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,dumbbell,double dumbbell front rack alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,dumbbell,double dumbbell overhead alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,12-15
lower body,dumbbell,double dumbbell overhead alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,dumbbell,double dumbbell overhead alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,dumbbell,single arm dumbbell suitcase alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,dumbbell,single arm dumbbell suitcase alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,dumbbell,alternating single arm dumbbell low hold alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,dumbbell,single arm dumbbell front rack alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,12-15
lower body,dumbbell,single arm dumbbell front rack alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,dumbbell,single arm dumbbell front rack alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,dumbbell,single arm dumbbell overhead alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,15-18
lower body,dumbbell,single arm dumbbell overhead alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,dumbbell,single arm dumbbell overhead alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,kettlebell,double kettlebell overhead alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,12-15
lower body,kettlebell,double kettlebell overhead alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,kettlebell,double kettlebell overhead alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
lower body,dumbbell,dumbbell goblet alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,12-15
lower body,dumbbell,dumbbell goblet alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,dumbbell,dumbbell goblet alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,clubbell,clubbell order alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,12-15
lower body,clubbell,clubbell order alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,clubbell,clubbell order alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,clubbell,double clubbell order alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,12-15
lower body,clubbell,double clubbell order alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,clubbell,double clubbell order alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,clubbell,single arm clubbell order alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,12-15
lower body,clubbell,single arm clubbell order alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,clubbell,single arm clubbell order alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,landmine,landmine low hold alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,landmine,landmine goblet alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,landmine,landmine goblet alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,macebell,macebell order alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,macebell,macebell order alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,macebell,macebell order alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,kettlebell,double kettlebell bottoms up overhead alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",advanced,5,8-10
lower body,kettlebell,double kettlebell bottoms up overhead alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,10-12
lower body,kettlebell,double kettlebell bottoms up overhead alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,10-12
lower body,kettlebell,single arm kettlebell suitcase alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,"dumbbell, slant board",double dumbbell front rack cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,3,10-12
lower body,"dumbbell, slant board",double dumbbell overhead cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",intermediate,4,12-15
lower body,"dumbbell, slant board",single arm dumbbell front rack cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,2,10-12
lower body,"dumbbell, slant board",single arm dumbbell overhead cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",intermediate,3,15-18
lower body,bodyweight,bodyweight alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,bodyweight,bodyweight alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,bodyweight,bodyweight alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,"macebell, slant board",macebell order cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,3,12-15
lower body,dumbbell,double dumbbell overhead squat,quadriceps,"quadriceps femoris, gluteus maximus",intermediate,3,15-18
lower body,dumbbell,single arm dumbbell overhead squat,quadriceps,"quadriceps femoris, gluteus maximus",intermediate,4,15-18
lower body,macebell,macebell order squat,quadriceps,"quadriceps femoris, gluteus maximus",beginner,3,12-15
lower body,"dumbbell, bench (flat)",double dumbbell front rack bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,"dumbbell, bench (flat)",double dumbbell overhead bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,8-10
lower body,"dumbbell, bench (flat)",single arm dumbbell overhead ipsilateral bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,10-12
lower body,"dumbbell, bench (flat)",single arm dumbbell suitcase contralateral bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,"dumbbell, bench (flat)",single arm dumbbell suitcase ipsilateral bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,"dumbbell, bench (flat)",single arm dumbbell front rack contralateral bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,"dumbbell, bench (flat)",single arm dumbbell front rack ipsilateral bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
core,clubbell,clubbell order march,hip flexors,"iliopsoas, rectus abdominis, gluteus medius",beginner,2,10-12
lower body,macebell,macebell order walking lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,suspension trainer,suspension alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,bulgarian bag,bulgarian bag back rack alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,12-15
lower body,bulgarian bag,bulgarian bag back rack walking lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,bulgarian bag,bulgarian bag back rack alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,heavy sandbag,heavy sandbag bear hug alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,12-15
lower body,heavy sandbag,heavy sandbag shoulder alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,15-18
lower body,sandbag,sandbag front rack alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,sandbag,sandbag front rack walking lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,sandbag,sandbag front rack alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,sandbag,sandbag front rack alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,weight plate,plate overhead walking lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,weight plate,plate overhead alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,12-15
lower body,weight plate,plate overhead alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,weight plate,plate overhead alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
upper body,barbell,barbell single leg standing bent knee overhead press,shoulders,"anterior deltoids, triceps brachii",advanced,4,8-10
upper body,barbell,single arm barbell single leg standing bent knee contralateral overhead press ,shoulders,"anterior deltoids, rectus abdominis",advanced,5,8-10
full body,bodyweight,bodyweight tuck planche,abdominals,"rectus abdominis, biceps brachii",advanced,4,10-12
upper body,barbell,single arm barbell single leg standing bent knee ipsilateral overhead press,shoulders,"anterior deltoids, rectus abdominis",advanced,4,10-12
upper body,kettlebell,double kettlebell push up to l sit,pectorals,"pectoralis major, rectus abdominis",advanced,5,8-10
core,pull up bar,bar hanging l sit,abdominals,rectus abdominis,intermediate,3,12-15
core,gymnastic rings,ring hanging l sit,abdominals,rectus abdominis,intermediate,4,15-18
core,pull up bar,single arm bar hanging l sit ,abdominals,rectus abdominis,advanced,4,8-10
core,gymnastic rings,single arm ring hanging l sit,abdominals,rectus abdominis,advanced,4,8-10
lower body,kettlebell,single arm kettlebell suitcase alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
core,parallette bars,parallette l sit flutter kicks,hip flexors,"iliopsoas, rectus abdominis",advanced,5,10-12
upper body,bodyweight,bodyweight single arm contralateral single leg push up,pectorals,"pectoralis major, rectus abdominis",advanced,5,10-12
full body,parallette bars,parallette tuck planche push up,pectorals,"pectoralis major, triceps brachii, rectus abdominis",advanced,5,10-12
upper body,gymnastic rings,ring maltese push up,pectorals,"pectoralis major, triceps brachii",advanced,4,10-12
full body,gymnastic rings,ring tuck planche push up,pectorals,"pectoralis major, triceps brachii, rectus abdominis",advanced,5,10-12
upper body,parallette bars,parallette l sit to tuck planche push up,pectorals,"pectoralis major, triceps brachii, rectus abdominis",advanced,5,10-12
upper body,gymnastic rings,ring l sit to tuck planche push up,pectorals,"pectoralis major, triceps brachii, rectus abdominis",advanced,4,8-10
upper body,pull up bar,bar advanced tuck front lever pull up,back,latissimus dorsi,advanced,5,10-12
upper body,pull up bar,bar gironda sternum chin up,biceps,"biceps brachii, latissimus dorsi",advanced,5,8-10
upper body,pull up bar,bar l sit archer pull up,back,"latissimus dorsi, biceps brachii",advanced,5,8-10
upper body,pull up bar,bar straddle front lever pull up,back,latissimus dorsi,advanced,5,8-10
upper body,pull up bar,bar strict muscle up,back,"latissimus dorsi, triceps brachii, biceps brachii",advanced,4,8-10
upper body,pull up bar,bar tuck front lever pull up,back,"latissimus dorsi, triceps brachii",advanced,5,8-10
full body,bodyweight,bodyweight tuck planche push up,pectorals,"pectoralis major, triceps brachii, rectus abdominis",advanced,5,8-10
upper body,clubbell,double clubbell asynchronous mill,shoulders,"posterior deltoids, gluteus maximus, obliques",advanced,4,10-12
lower body,"clubbell, plyo box",clubbell order step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,"clubbell, plyo box",clubbell order alternating step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
core,bodyweight,bodyweight l sit,abdominals,rectus abdominis,advanced,5,10-12
core,bodyweight,bodyweight single arm l sit,abdominals,rectus abdominis,advanced,4,8-10
lower body,kettlebell,alternating single arm kettlebell low hold alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,kettlebell,single arm kettlebell front rack alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,kettlebell,single arm kettlebell front rack alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,kettlebell,single arm kettlebell front rack alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,kettlebell,single arm kettlebell bottoms up front rack alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,12-15
lower body,kettlebell,single arm kettlebell bottoms up front rack alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
upper body,parallette bars,parallette v sit to pike press handstand,shoulders,"anterior deltoids, triceps brachii, rectus abdominis",advanced,4,10-12
upper body,gymnastic rings,ring pseudo planche push up,pectorals,"pectoralis major, anterior deltoids",advanced,4,8-10
lower body,macebell,single arm macebell order contralateral cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,2,12-15
lower body,macebell,single arm macebell order low switch cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",intermediate,3,12-15
lower body,macebell,single arm macebell order alternating cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,3,10-12
lower body,macebell,single arm macebell order foot elevated contralateral cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",intermediate,3,15-18
lower body,stability ball,stability ball feet elevated glute bridge,glutes,"gluteus maximus, biceps femoris, erector spinae",beginner,3,10-12
core,bodyweight,bodyweight mountain climber,abdominals,"rectus abdominis, iliopsoas, anterior deltoids",beginner,2,12-15
core,suspension trainer,suspension feet elevated mountain climber,abdominals,"rectus abdominis, iliopsoas, anterior deltoids",intermediate,4,12-15
core,bodyweight,bodyweight straddle l sit,abdominals,rectus abdominis,advanced,4,10-12
lower body,kettlebell,single arm kettlebell bottoms up front rack alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,bodyweight,bodyweight cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,3,10-12
upper body,bodyweight,bodyweight wall facing handstand push up,shoulders,"anterior deltoids, triceps brachii",advanced,4,10-12
upper body,gymnastic rings,ring pelican push up,pectorals,"pectoralis major, triceps brachii, biceps brachii",advanced,4,10-12
lower body,"barbell, plyo box",barbell back rack alternating step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,"barbell, plyo box",barbell front rack alternating step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
upper body,"gymnastic rings, bench (flat)",ring feet elevated pelican push up,pectorals,"pectoralis major, triceps brachii, biceps brachii",advanced,5,10-12
upper body,suspension trainer,suspension pelican push up,pectorals,"pectoralis major, triceps brachii, biceps brachii",advanced,5,8-10
core,gymnastic rings,ring tuck l sit,abdominals,rectus abdominis,intermediate,3,12-15
core,gymnastic rings,ring hanging tuck l sit,abdominals,rectus abdominis,intermediate,4,12-15
core,pull up bar,bar hanging tuck l sit,abdominals,rectus abdominis,intermediate,3,12-15
lower body,kettlebell,single arm kettlebell overhead alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,15-18
lower body,kettlebell,single arm kettlebell overhead alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
core,gymnastic rings,ring mountain climber,abdominals,"rectus abdominis, iliopsoas, anterior deltoids",intermediate,4,12-15
core,gymnastic rings,ring feet elevated mountain climber,abdominals,"rectus abdominis, iliopsoas, anterior deltoids",intermediate,4,15-18
lower body,kettlebell,single arm kettlebell overhead alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
upper body,gymnastic rings,ring dead hang,forearms,"brachioradialis, latissimus dorsi, teres major",beginner,3,12-15
upper body,parallette bars,parallette kneeling push up,pectorals,pectoralis major,beginner,2,12-15
full body,clubbell,clubbell outside circle,abdominals,"rectus abdominis, gluteus maximus, brachioradialis",intermediate,3,12-15
full body,macebell,single arm macebell order carry,forearms,"brachioradialis, rectus abdominis, gluteus maximus",beginner,3,10-12
full body,clubbell,clubbell order carry,forearms,"brachioradialis, rectus abdominis, gluteus maximus",beginner,2,12-15
full body,macebell,macebell order carry,forearms,"brachioradialis, rectus abdominis, gluteus maximus",beginner,3,10-12
core,macebell,macebell order march,hip flexors,"iliopsoas, rectus abdominis, gluteus medius",beginner,3,10-12
core,macebell,single arm macebell order march,hip flexors,"iliopsoas, rectus abdominis, gluteus medius",beginner,3,10-12
lower body,kettlebell,single arm kettlebell bottoms up overhead alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",advanced,5,10-12
lower body,kettlebell,single arm kettlebell bottoms up overhead alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,10-12
lower body,kettlebell,single arm kettlebell bottoms up overhead alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,10-12
upper body,stability ball,stability ball t's y's i's ,shoulders,posterior deltoids,beginner,3,12-15
upper body,resistance band,resistance band reverse fly,shoulders,posterior deltoids,beginner,2,12-15
upper body,resistance band,resistance band lateral raise,shoulders,"lateral deltoids, anterior deltoids, trapezius",beginner,3,12-15
upper body,dumbbell,double dumbbell lateral raise,shoulders,"lateral deltoids, anterior deltoids, trapezius",beginner,2,12-15
upper body,resistance band,single arm resistance band standing shoulder external rotation,shoulders,"posterior deltoids, infraspinatus, teres minor",beginner,3,12-15
upper body,"dumbbell, bench (flat)",double dumbbell seated lateral raise,shoulders,"lateral deltoids, anterior deltoids, trapezius",beginner,3,10-12
upper body,dumbbell,single arm dumbbell side lying shoulder external rotation,shoulders,"posterior deltoids, infraspinatus, teres minor",beginner,2,12-15
upper body,miniband,miniband standing shoulder external rotation,shoulders,"posterior deltoids, infraspinatus, teres minor",beginner,2,10-12
upper body,dumbbell,single arm dumbbell side lying shoulder internal rotation,shoulders,"subscapularis , teres major",beginner,3,10-12
upper body,"stability ball, dumbbell",stability ball double dumbbell seated arnold press,shoulders,"anterior deltoids, triceps brachii",beginner,2,12-15
upper body,cable,single arm cable lateral raise,shoulders,"lateral deltoids, anterior deltoids, trapezius",beginner,2,12-15
upper body,"dumbbell, bench (flat)",double dumbbell seated overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,3,10-12
upper body,dumbbell,double dumbbell overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,12-15
upper body,dumbbell,double dumbbell shrug,trapezius,"upper trapezius, levator scapulae, rhomboids",beginner,3,12-15
upper body,dumbbell,double dumbbell standing scaption,shoulders,"anterior deltoids, supraspinatus, serratus anterior",beginner,3,12-15
core,ez bar,ez bar kneeling rollout,abdominals,"rectus abdominis, latissimus dorsi, serratus anterior",intermediate,4,15-18
core,ez bar,ez bar standing rollout,abdominals,"rectus abdominis, latissimus dorsi, serratus anterior",advanced,5,8-10
upper body,"dumbbell, bench (flat)",double dumbbell seated scaption,shoulders,"anterior deltoids, supraspinatus, serratus anterior",beginner,2,12-15
upper body,"stability ball, dumbbell",stability ball double dumbbell seated scaption,shoulders,"anterior deltoids, supraspinatus, serratus anterior",beginner,3,12-15
upper body,dumbbell,alternating double dumbbell bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,12-15
upper body,"dumbbell, bench (incline)",alternating double dumbbell incline bench bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,12-15
upper body,dumbbell,alternating double dumbbell hammer curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,12-15
upper body,dumbbell,alternating double dumbbell cross body hammer curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,"dumbbell, bench (incline)",single arm dumbbell incline bench preacher curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,12-15
upper body,dumbbell,dumbbell crush grip bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,dumbbell,double dumbbell zottman curl,biceps,"biceps brachii, brachioradialis, brachialis",beginner,2,10-12
upper body,dumbbell,dumbbell waiter curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,12-15
upper body,cable,cable straight bar drag curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,12-15
upper body,cable,cable rope hammer curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,12-15
lower body,kettlebell,kettlebell goblet alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
upper body,suspension trainer,suspension bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,12-15
upper body,dumbbell,double dumbbell tricep kickback,triceps,triceps brachii ,beginner,3,10-12
lower body,tire,tire jump,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,tire,tire jump through,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,tire,tire broad jump,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,8-10
lower body,tire,tire step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,tire,tire alternating step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,tire,tire alternating toe taps around the world,quadriceps,"quadriceps femoris, gluteus maximus",intermediate,3,15-18
upper body,"dumbbell, bench (flat)",dumbbell seated overhead tricep extension,triceps,"triceps brachii , anterior deltoids, rectus abdominis",beginner,3,12-15
lower body,tire,tire lateral jump through,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
full body,tire,tire carry,forearms,"brachioradialis, rectus abdominis",intermediate,4,15-18
upper body,dumbbell,dumbbell overhead tricep extension,triceps,"triceps brachii , anterior deltoids, rectus abdominis",beginner,3,12-15
upper body,dumbbell,double dumbbell close grip floor press,triceps,"triceps brachii , pectoralis major, anterior deltoids",beginner,2,12-15
full body,barbell,barbell back rack carry,abdominals,"rectus abdominis, gluteus maximus",intermediate,4,15-18
full body,barbell,single arm barbell suitcase carry,forearms,"brachioradialis, obliques",intermediate,3,15-18
lower body,suspension trainer,suspension bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
lower body,suspension trainer,suspension bulgarian split squat jump,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,8-10
core,bodyweight,bodyweight lateral bear crawl,abdominals,rectus abdominis,beginner,3,12-15
lower body,"bodyweight, plyo box",bodyweight step up jump,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
lower body,tire,tire step up jump,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,"bodyweight, plyo box",bodyweight alternating step up jump,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,tire,tire alternating step up jump,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
full body,barbell,barbell power clean to push press,shoulders,"anterior deltoids, triceps brachii",advanced,4,10-12
upper body,"dumbbell, bench (flat)",double dumbbell close grip bench press,triceps,"triceps brachii , pectoralis major, anterior deltoids",beginner,2,12-15
full body,clubbell,double clubbell inside pendulum,abdominals,"obliques, gluteus maximus",intermediate,4,15-18
full body,clubbell,single arm clubbell outside pendulum,abdominals,"obliques, gluteus maximus",intermediate,4,15-18
full body,clubbell,double clubbell outside pendulum,abdominals,"obliques, gluteus maximus",intermediate,3,12-15
full body,clubbell,double clubbell inside pendulum to outside pendulum,abdominals,"obliques, gluteus maximus",intermediate,3,15-18
full body,clubbell,clubbell outside pendulum,abdominals,"obliques, gluteus maximus",intermediate,3,15-18
